,,,,,,,,,,,,,,,,,,,,
over,3,6,10,18,30,40,50,65,80,100,120,140,160,180,200,225,250,280,315,355
js6,"+4
-4","+4.5
-4.5","+5.5
-5.5","+6.5
-6.5","+8
-8","+8
-8","+9.5
-9.5","+9.5
-9.5","+11
-11","+11
-11","+12.5
-12.5","+12.5
-12.5","+12.5
-12.5","+14.5
-14.5","+14.5
-14.5","+14.5
-14.5","+16
-16","+16
-16","+18
-18","+18
-18"
js7,"+6
-6","+7.5
-7.5","+9
-9","+10.5
-10.5","+12.5
-12.5","+12.5
-12.5","+15
-15","+15
-15","+17.5
-17.5","+17.5
-17.5","+20
-20","+20
-20","+20
-20","+23
-23","+23
-23","+23
-23","+26
-26","+26
-26","+28.5
-28.5","+28.5
-28.5"
k5,"+6
+1","+7
+1","+9
+1","+11
+2","+13
+2","+13
+2","+15
+2","+15
+2","+18
+3","+18
+3","+21
+3","+21
+3","+21
+3","+24
+4","+24
+4","+24
+4","+27
+4","+27
+4","+29
+4","+29
+4"
k6,"+9
+1","+10
+1","+12
+1","+15
+2","+18
+2","+18
+2","+21
+2","+21
+2","+25
+3","+25
+3","+28
+3","+28
+3","+28
+3","+33
+4","+33
+4","+33
+4","+36
+4","+36
+4","+40
+4","+40
+4"
k7,"+13
+1","+16
+1","+19
+1","+23
+2","+27
+2","+27
+2","+32
+2","+32
+2","+38
+3","+38
+3","+43
+3","+43
+3","+43
+3","+50
+4","+50
+4","+50
+4","+56
+4","+56
+4","+61
+4","+61
+4"
m5,"+9
+4","+12
+6","+15
+7","+17
+8","+20
+9","+20
+9","+24
+11","+24
+11","+28
+13","+28
+13","+33
+15","+33
+15","+33
+15","+37
+17","+37
+17","+37
+17","+43
+20","+43
+20","+46
+21","+46
+21"
m6,"+12
+4","+15
+6","+18
+7","+21
+8","+25
+9","+25
+9","+30
+11","+30
+11","+35
+13","+35
+13","+40
+15","+40
+15","+40
+15","+46
+17","+46
+17","+46
+17","+52
+20","+52
+20","+57
+21","+57
+21"
m7,"+16
+4","+21
+6","+25
+7","+29
+8","+34
+9","+34
+9","+41
+11","+41
+11","+48
+13","+48
+13","+55
+15","+55
+15","+55
+15","+63
+17","+63
+17","+63
+17","+72
+20","+72
+20","+78
+21","+78
+21"
n5,"+13
+8","+16
+10","+20
+12","+24
+15","+28
+17","+28
+17","+33
+20","+33
+20","+38
+23","+38
+23","+45
+27","+45
+27","+45
+27","+51
+31","+51
+31","+51
+31","+57
+34","+57
+34","+62
+37","+62
+37"
n6,"+16
+8","+19
+10","+23
+12","+28
+15","+33
+17","+33
+17","+39
+20","+39
+20","+45
+23","+45
+23","+52
+27","+52
+27","+52
+27","+60
+31","+60
+31","+60
+31","+66
+34","+66
+34","+73
+37","+73
+37"
n7,"+20
+8","+25
+10","+30
+12","+36
+15","+42
+17","+42
+17","+50
+20","+50
+20","+58
+23","+58
+23","+67
+27","+67
+27","+67
+27","+77
+31","+77
+31","+77
+31","+86
+34","+86
+34","+94
+37","+94
+37"
p5,"+17
+12","+21
+15","+26
+18","+31
+22","+37
+26","+37
+26","+45
+32","+45
+32","+52
+37","+52
+37","+61
+43","+61
+43","+61
+43","+70
+50","+70
+50","+70
+50","+79
+56","+79
+56","+87
+62","+87
+62"
p6,"+20
+12","+24
+15","+29
+18","+35
+22","+42
+26","+42
+26","+51
+32","+51
+32","+59
+37","+59
+37","+68
+43","+68
+43","+68
+43","+79
+50","+79
+50","+79
+50","+88
+56","+88
+56","+98
+62","+98
+62"
r6,"+23
+15","+28
+19","+34
+23","+41
+28","+50
+34","+50
+34","+60
+41","+62
+43","+73
+51","+76
+54","+88
+63","+90
+65","+93
+68","+106
+77","+109
+80","+113
+84","+126
+94","+130
+98","+144
+108","+150
+114"
